At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1 # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best	sans-F		qualifying
PG	VF	VD		VF FM VD
PH	FD	VD		FD VD
PI	VD	VD		VD
PJ	FM	VD		FM VD VF
PK	FD	VD		FD VD
PL	VF	VD		VF FM VD FD
PM	VF	VD		VF FD VD
PN	FM	VD		FM VD
PO	FM	VD		FM VD
PP	VF	VD		VF FM VD FD
PQ	VD	VD		VD F
PR	VF	VD		VF VD FM FD
PS	FD	VD		FD VD
PT	FM	VD		FM VD VF
PU	VD	VD		VD F
PV	VD	VD		VD
PW	VF	VD		VF VD FD FM
PX	VD	VD		VD
PY	F	VD		F VD
PZ	VD	VD		VD
QA	FM	V		FM V
QB	FD	V		FD V
QC	FM	V		FM V
QD	FD	V		FD V
QE	FM	V		FM V
QF	FM	V		FM V
QG	FM	V		FM V
QH	FD	V		FD V
QI	V	V		V
QJ	FM	V		FM V
QK	FD	V		FD V
QL	FM	V		FM FD V
QM	FD	V		FD V
QN	FM	V		FM V
QO	FM	V		FM V
QP	FM	V		FM FD V
QQ	V	V		V F
QR	FM	V		FM FD V
QS	FD	V		FD V
QT	FM	V		FM V
QU	F	V		F V
QV	V	V		V
QW	FD	V		FD FM V
QX	V	V		V
QY	F	V		F V
QZ	V	V		V
RA	FM	VD		FM VD VF
RB	VD	VD		VD FD
RC	VD	VD		VD FM
RD	VD	VD		VD FD VF
RE	VD	VD		VD FM VF
RF	VD	VD		VD FM
RG	VD	VD		VD FM VF
RH	FD	VD		FD VD
RI	VD	VD		VD
RJ	VF	VD		VF VD FM
RK	VD	VD		VD FD
RL	VD	VD		VD FM VF FD
RM	VD	VD		VD FD
RN	VD	VD		VD FM VF
RO	VD	VD		VD FM VF
RP	VD	VD		VD VF FM FD
RQ	VD	VD		VD F
RR	VD	VD		VD VF FM FD
RS	VD	VD		VD FD
RT	VD	VD		VD VF FM
RU	VD	VD		VD F
RV	VD	VD		VD
RW	VD	VD		VD FD FM
RX	VD	VD		VD
RY	F	VD		F VD
RZ	VD	VD		VD
SA	FM	VD		FM VF VD
SB	VD	VD		VD FD
SC	VD	VD		VD FM
SD	VD	VD		VD VF FD
SE	VD	VD		VD FM VF
SF	VD	VD		VD FM
SG	VD	VD		VD VF FM
SH	FD	VD		FD VD
SI	VD	VD		VD
SJ	FM	VD		FM VD VF
SK	FD	VD		FD VD
SL	VD	VD		VD VF FM FD
SM	VD	VD		VD FD VF
SN	VD	VD		VD FM VF
SO	VD	VD		VD FM VF
SP	VF	VD		VF VD FM FD
SQ	VD	VD		VD F
SR	VD	VD		VD VF FM FD
SS	VD	VD		VD FD
ST	VD	VD		VD VF FM
SU	VD	VD		VD F
SV	VD	VD		VD
SW	VD	VD		VD FD VF FM
SX	VD	VD		VD
SY	F	VD		F VD
SZ	VD	VD		VD
TA	FM	VD		FM VD VM
TB	VD	VD		VD VM FD
TC	FM	VD		FM VD VM
TD	VF	VD		VF FD VD VM
TE	FM	VD		FM VD VM
TF	VD	VD		VD FM VM
TG	FM	VD		FM VF VD VM
TH	FD	VD		FD VD VM
TI	VD	VD		VD VM
TJ	FM	VD		FM VF VD VM
TK	FD	VD		FD VD VM VF
TL	VF	VD		VF FM VD VM FD
TM	VF	VD		VF FD VD VM
TN	FM	VD		FM VD VM
TO	FM	VD		FM VD VM
TP	VF	VD		VF FM VD VM FD
TQ	VD	VD		VD VM F
TR	VF	VD		VF FM VD FD VM
TS	FD	VD		FD VD VM
TT	FM	VD		FM VD VM
TU	VD	VD		VD VM F
TV	VF	VD		VF VD VM
TW	VF	VD		VF FD VD VM FM
TX	VD	VD		VD VM
TY	F	VD		F VD VM
TZ	VD	VD		VD VM
UA	FM	V		FM V
UB	FD	V		FD V
UC	FM	V		FM V
UD	FD	V		FD V
UE	FM	V		FM V
UF	FM	V		FM V
UG	FM	V		FM V
UH	FD	V		FD V
UI	V	V		V
UJ	FM	V		FM V
UK	FD	V		FD V
UL	FM	V		FM FD V
UM	FD	V		FD V
UN	FM	V		FM V
UO	FM	V		FM V
UP	FM	V		FM FD V
UQ	F	V		F V
UR	FM	V		FM FD V
US	FD	V		FD V
UT	FM	V		FM V
UU	F	V		F V
UV	V	V		V
UW	FD	V		FD FM V
UY	F	V		F V
UZ	V	V		V
VA	FM			FM
VB	FD			FD
VC	FM			FM
VD	FD			FD
VE	FM			FM
VF	FM			FM
VG	FM			FM
VH	FD			FD
VI	VM*			
VJ	FM			FM
VK	FD			FD
VL	FM			FM FD
VM	FD			FD
VN	FM			FM
VO	FM			FM
VP	FM			FM FD
VQ	F			F
VR	FM			FM FD
VS	FD			FD
VT	FM			FM
VU	F			F
VV	FMD*			
VW	FD			FD FM
VX	VM*			
VY	F			F
VZ	FM*			
WA	FM	VM		FM VM VD
WB	VM	VM		VM VD FD
WC	FM	VM		FM VM VD
WD	VF	VM		VF VM FD VD
WE	FM	VM		FM VM VD
WF	VM	VM		VM VD FM
WG	FM	VM		FM VF VM VD
WH	FD	VM		FD VM VD VF
WI	VM	VM		VM VD
WJ	FM	VM		FM VM VD VF
WK	FD	VM		FD VF VM VD
WL	VF	VM		VF FM VM VD FD
WM	VF	VM		VF FD VM VD
WN	FM	VM		FM VM VD
WO	FM	VM		FM VM VD
WP	FM	VM		FM VF VM VD FD
WQ	VM	VM		VM VD F
WR	VF	VM		VF VM FM VD FD
WS	FD	VM		FD VM VD
WT	FM	VM		FM VM VD
WU	VM	VM		VM VD F
WV	VF	VM		VF VM VD
WW	VF	VM		VF VM FD VD FM
WX	VM	VM		VM VD
WY	F	VM		F VM VD
WZ	VM	VM		VM VD
XA	FM	V		FM V
XB	FD	V		FD V
XC	FM	V		FM V
XD	FD	V		FD V
XE	FM	V		FM V
XF	FM	V		FM V
XG	FM	V		FM V
XH	FD	V		FD V
XI	V	V		V
XJ	FM	V		FM V
XK	FD	V		FD V
XL	FM	V		FM FD V
XM	FD	V		FD V
XN	FM	V		FM V
XO	FM	V		FM V
XP	FM	V		FM FD V
XQ	V	V		V F
XR	FM	V		FM FD V
XS	FD	V		FD V
XT	FM	V		FM V
XU	F	V		F V
XV	V	V		V
XW	FD	V		FD FM V
XX	V	V		V
XY	F	V		F V
XZ	V	V		V
YA	FM			FM
YB	VF			VF FD
YC	FM			FM
YD	FD			FD
YE	FM			FM
YF	FM			FM
YG	FM			FM
YH	FD			FD
YI	VM*			
YJ	FM			FM
YK	FD			FD
YL	FM			FM FD
YM	FD			FD
YN	FM			FM
YO	FM			FM
YP	FM			FM FD
YQ	F			F
YR	FM			FM FD
YS	FD			FD
YT	FM			FM
YU	F			F
YV	VM*			
YW	FD			FD FM
YX	VM*			
YY	F			F
YZ	FM*			
ZA	FM	V		FM V
ZB	FD	V		FD V
ZC	FM	V		FM V
ZD	FD	V		FD V
ZE	FM	V		FM V
ZF	FM	V		FM V
ZG	FM	V		FM V
ZH	FD	V		FD V
ZI	V	V		V
ZJ	FM	V		FM V
ZK	FD	V		FD V
ZL	FM	V		FM FD V
ZM	FD	V		FD V
ZN	FM	V		FM V
ZO	FM	V		FM V
ZP	FM	V		FM FD V
ZQ	V	V		V F
ZR	FM	V		FM FD V
ZS	FD	V		FD V
ZT	FM	V		FM V
ZU	F	V		F V
ZV	V	V		V
ZW	FD	V		FD FM V
ZX	V	V		V
ZY	F	V		F V
ZZ	V	V		V
