At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1; # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best		qualifying
WG	FM		FM VF VM VD        
WH	FD		FD VM VD VF        
WI	VM		VM VD          
WJ	FM		FM VM VD VF        
WK	FD		FD VF VM VD        
WL	VF		VF FM VM VD FD       
WM	VF		VF FD VM VD        
WN	FM		FM VM VD         
WO	FM		FM VM VD         
WP	FM		FM VF VM VD FD       
WQ	VM		VM VD F         
WR	VF		VF FM VM VD FD       
WS	FD		FD VM VD         
WT	FM		FM VM VD         
WU	VM		VM VD F         
WV	VF		VF VM VD         
WW	VF		VF VM FD VD FM       
WX	VM		VM VD          
WY	F		F VM VD         
WZ	VM		VM VD          
XA	FM		FM V          
XB	FD		FD V          
XC	FM		FM V          
XD	FD		FD V          
XE	FM		FM V          
XF	FM		FM V          
XG	FM		FM V          
XH	FD		FD V          
XI	V		V           
XJ	FM		FM V          
XK	FD		FD V          
XL	FM		FM FD V         
XM	FD		FD V          
XN	FM		FM V          
XO	FM		FM V          
XP	FM		FM FD V         
XQ	V		V F          
XR	FM		FM FD V         
XS	FD		FD V          
XT	FM		FM V          
XU	F		F V          
XV	V		V           
XW	FD		FD FM V         
XX	V		V           
XY	F		F V          
XZ	V		V           
YA	FM		FM           
YB	VF		VF FD          
YC	FM		FM           
YD	FD		FD           
YE	FM		FM           
YF	FM		FM           
YG	FM		FM           
YH	FD		FD           
YI	VM*		           
YJ	FM		FM           
YK	FD		FD           
YL	FM		FM FD          
YM	FD		FD           
YN	FM		FM           
YO	FM		FM           
YP	FM		FM FD          
YQ	F		F           
YR	FM		FM FD          
YS	FD		FD           
YT	FM		FM           
YU	F		F           
YV	VM*		           
YW	FD		FD FM          
YX	VM*		           
YY	F		F           
YZ	FM*		           
ZA	FM		FM V          
ZB	FD		FD V          
ZC	FM		FM V          
ZD	FD		FD V          
ZE	FM		FM V          
ZF	FM		FM V          
ZG	FM		FM V          
ZH	FD		FD V          
ZI	V		V           
ZJ	FM		FM V          
ZK	FD		FD V          
ZL	FM		FM FD V         
ZM	FD		FD V          
ZN	FM		FM V          
ZO	FM		FM V          
ZP	FM		FM FD V         
ZQ	V		V F          
ZR	FM		FM FD V         
ZS	FD		FD V          
ZT	FM		FM V          
ZU	F		F V          
ZV	V		V           
ZW	FD		FD FM V         
ZX	V		V           
ZY	F		F V          
ZZ	V		V           
